Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link;;;
RK Infotech LLC; Software Engineer; 70-110k; 4/8/26;Open; 4/8/26;; https://www.linkedin.com/jobs/view/4374000978/?trackingId=6O81FuP%2FQ%2FeoOGSqPA1NKQ%3D%3D&refId=aPlE9xhZRBiSLoJn6xJRBA%3D%3D&eBP=CwEAAAGdYhMtotkU2-Q_c8OlVyoO1Tbv1dARK2LG2NOKoCDf4RTdepTcsLoiP98YL6i9zFuk2QjTJrshZu0XdRaUO-RQBqVHSpaQUGYWHtMVTsecXXaBrr8oBux1Gf6yO7ltGevP_6tXK2atYydCQrE-eHsV33sJQ_9eggyOUI21fKdRVTHyIaYZtjE243ej8M5ANHJYPTa_JmVKWtNL_jRpkT7DwBT6w4ak0O7c45ofhF1r-BXBzAVSMuAeAr-kXNgnFf4t8-z9jdocY9C9mlTueJFqa6_s5qb7h2S7vjJjRFN6PrxUjBWKWSesko3r8c3jeT6wFxdrCMJ0u7Dbe-DiTd-jzH9ka_ns2SbKHPOFVBK_PZ-nFCO9ogBgS7FlAZ77oo8lLN2WWBoUxW438nnGcpxC-gCvWUE-L-WLeSvbISo&midToken=AQE_3XQkBAKpjA&midSig=0DrrZgg_jszIc1&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4374000978&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body_4374000978-null-mw6pip~mnp5hq57~k3-null-null&eid=mw6pip-mnp5hq57-k3&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjE4NmM2ZDQ0ODk5YTg4YzY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjYmQzZDQ0ZmE3ZDA4YTZiZjcwZmQ0NzZhM2U5NmE4YzdmYWJjYTI1NjFlYjY3MjIsMSwx;;;
Wily Fox Technologies; Software Enginer (Remote - U.S. based) ; 60-70/hr; 4/10/26;Open; 4/10/26;; https://www.indeed.com/viewjob?jk=8188677a509e9d6e&tk=1jlr0o1grnqi7801&from=jobi2a&advn=2483208184040850&adid=460293011&ad=-6NYlbfkN0AJXj6mDuD1v3Pabq33xVH6uIWD2p5WgfRqnku-4e2Ey0FjwPfa_ZuxDjQGyDS3_Ke-ZW0XPOic0jlcAJMID7eD3h_27CU1PcSXYFFuSLyJUWz0IO_Gp7s-_qyZvmVKhe2wnuESQlRGpmwU5fmCBpPjhYs6XGTZlBn9-72IvU7M84nmVwTjOYTn5s5G8C8S6itHc9zWgKs15Zv0c1FOSIAACGqFdQPNOuvZyEnQ8Dz_YfZbWytlf9bURTek5FkEIi7CSTKV-tT1EJxXfK60jYu3io8yzL97pNkDkhAVRhPDG2ZYXHt7LpS_ce3GtSli1LjzePnkN1aNZO6Awhb_bGBSRD8xvHd9WNKo8uz6zhZwHdJ71V_89pc3APa6PyqA1gFBxBoeWLrBisInIsUK_n2lCigI_PY_57SZL56YsO0EM89GOI8x0aT6g0JPasKT-vomPgThLuZh1_SgPnsoE1xuSwf1HSPF1qznvO-bIh7l2fSzJvZ4UF4QlUBZtjv1Z49cuBqaQa0Q4MkmAt1Fb-nItHPK5w-Uy9p2U5XhdccIMgB36uSvrHeLBxUcM8lto0dQdBv2neYr5B1vay5rIH1wZZc75He0EAV8nxLirDGzUsXX6_9G3rEq&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=C3EPSzFlQw8WJh7ZSAGYoA%3D%3D&jrtk=5-cmh1-1-1jlr0o09biot7801-8188677a509e9d6e&xkcb=SoA36_M3l7Jq1A2mhB0AbzkdCdPP&xpse=SoCd6_I3l8TiFdyvop0ObzkdCdPP&xfps=17a07255-a50c-42c9-b186-5501a58b3f72;;;
Alkami Technology; Software Engineer; ; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4387211670/?trackingId=AAQWbgClEUZ8W72DWlEohA%3D%3D&refId=Vx7jzVY%2FbxUqDivhgiOXxQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=17cYvqYEvtDsc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4387211670_ssid_15257593100_fmid_mw6pip~mnsyo0lv~j4&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4387211670_ssid_15257593100_fmid_mw6pip~mnsyo0lv~j4-null-mw6pip~mnsyo0lv~j4-null-null&eid=mw6pip-mnsyo0lv-j4&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYmM4ZGM2ZDk0NzlkYWQ4YzYyN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkN2U0Yzg2YzgxZGRiOTJmMmJlMTBmMTdmZTNmNGJjZjZmZjNjMGJkODE0YzM5ZjMsMSwx;;;
Indeed; Software Engineer II; 100-210k; 4/1026; Rejected; 5/29/26;; https://www.glassdoor.com/job-listing/software-engineer-ii-indeed-JV_KO0,20_KE21,27.htm?jl=1010089934187&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos6-age6d-1010089934187&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlrt8jitk3fr800-b762c12c0e5b6a70&cs=1_5da7f766&s=224&t=JA&pos=106&ja=378462087&guid=0000019d77c4b55b990965d64b3ade90&jobListingId=1010089934187&ea=1&vt=e&cb=1775831895923&ctt=1775849427317&srs=EMAIL_JOB_ALERT&gdir=1;;; Rejection Received
Pell Software, LLC; .NET Software Engineer; 90-120k; 4/10/26;Open; 4/10/26;; https://www.glassdoor.com/job-listing/net-software-engineer-pell-software-JV_KO0,21_KE22,35.htm?jl=1010095810727&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos4-agept-1010095810727&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlrtib0iljeq800-263b23c621bd6ca6&cs=1_ba73346d&s=224&t=JA&pos=104&ja=399775333&guid=0000019d77c4ba20878c49e4f81bf4a4&jobListingId=1010095810727&ea=1&vt=e&cb=1775832214775&ctt=1775849461967&srs=EMAIL_JOB_ALERT&gdir=1;;;
RSVP Communications, Inc; Contract .NET Full Stack Remote Developer (C#, SQL Server, REST APIs); 50-75/hr; 4/10/26;Open; 4/10/26;; https://www.glassdoor.com/job-listing/contract-net-full-stack-remote-developer-c-sql-server-rest-apis-rsvp-communications-JV_KO0,63_KE64,83.htm?jl=1010094460352&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos8-age1d-1010094460352&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jlrtib0iljeq800-6c6c7a9ea6b2e318&cs=1_f9c130bd&s=224&t=JA&pos=108&ja=399775333&guid=0000019d77c4ba20878c49e4f81bf4a4&jobListingId=1010094460352&ea=1&vt=e&cb=1775832214775&ctt=1775849483286&srs=EMAIL_JOB_ALERT&gdir=1;;;
Sonsoft Inc; Net Developer; 45-60/hr; 4/10/26;Open; 4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IlNka3RtTTljRUEwQk83aE05T0lXZkEiLCJtYXRjaF9pZCI6IjAxOWQ3ODA5LTE5ZjUtNzM4OC05ZmI3LTU3MDNhOTM5Y2MxMCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFFajBveWk1REIxUGlPXzF4SWpVZXhWU3hlUmdRWHlzNERKZUtRSnlLNVBnREpzZUI5c2Nmak9MSU1mV0tvaWNSUzE4VjhtIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
Global Channel Management, Inc; .Net Developer; 60/hr; 4/10/26;Open; 4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IkRGMlZTZkNlWURxcW9VQ2VDekVTRWciLCJtYXRjaF9pZCI6IjAxOWQ3ODA5LTE5ZjUtNzM5MS04MzI5LWM5YjNlZWMwMjJhOCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFGUXdKSmpFNkRmRG1PUnFRSVQ1WDVENDFoNjB0cVp0TEFyTm92QUZJcGxZRXljWDdsVDUwTmh2RWpfb3RzQzV2bU85RFZhIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
MeeBoss; Software Engineer; 90-110k; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4399482806/?trackingId=t%2BNHex0iNC5b6aF0%2FCUMKA%3D%3D&refId=OFYwTsax1kjh4QnLcAnUog%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0CjLYVdEhqDIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4399482806_ssid_14583149764_fmid_mw6pip~mnt2ybki~y7&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4399482806_ssid_14583149764_fmid_mw6pip~mnt2ybki~y7-null-mw6pip~mnt2ybki~y7-null-null&eid=mw6pip-mnt2ybki-y7&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYmM4Y2M4ZDQ0NzljYWQ4ZDZmN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThmNWJjZTc1YzhkZjdiZDIxNWViNmExZTZmZTU2MTU3ZTU5YTNkY2IwMzA5NjQ5ZGIsMSwx;;;
S.S. White Technologies; Software Developer; 75-100k; 4/10/26;Open; 4/10/26;; https://www.glassdoor.com/job-listing/software-developer-ss-white-technologies-JV_IC1154421_KO0,18_KE19,40.htm?jl=1010089897256&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-age6d-1010089897256&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jls6sj8il6gs800-bfc5afc6a7d71a4d---6NYlbfkN0ARkzdzHqkw_6-cT3_y4956ZYkvt2s3_qwJ5gvFu1SaT_lLOJ9eAO-zoy-lE84zOZ6EX0yf5RlRB9xTVod58-ITu7HArEDiUS-JrLdkduKD3IC3wM9HmeLXSU2ZFb9wmG4suuuB-CWngMwTxzPcSffbtcWkNEs1pKeeQyKFQbkuZZjr4PFFl-JCzUNHBSOKAaA5Bqjj9e2HS0pov7iY2CncmyNRttUPDTW_t1FGQoEII07Ip3v-8X04ygFyGcrxX1XFTtAW1OeUTeTroIQjSqnQQv_IevjvnnoH47IpTErN8H-cXoOGipZDrB7anIwsUOxpKJP0CN5CkhEDSZUMzd58VdlKTWJ2WZ7GVm1ZnMz0QbitQXxlhWHd9P14P-bCtDxkaXve-BULRyj0mfjcSbXkvxpYStk86a1SA_jmglzb9SWjd_zlJmno0ol85JvLO3nI40wH2x9SeZ2rvuooJkeom9kKRMTBwswuWwRG6E0ceIwZj8qwUWJzaWZMH_Q6U1Qw4m-aKaaJEv6gxqk8sGGte7rd0_pXS4FPkOI44FFLE61nbO5MkjTdkKr4OCNVTnLZntndaCkcjxcV1rlXP8N7KPOCARX-9cMXzMTshYsm1K6iekzOwX_C1tPInfew8jMkzpwHv33ZSw27TMBdu85VvPzNYR4L0eppkBj8enWNn1bttX5Cf55FMGu8xIKIna1rh_o7B2G4onsi9_q96DOQig99NAfCUarvuun0rz72Wwcyzaf0aLRYBhdE7-DyrTDsbTI21XZTE1iKlOA9rYs9JdObaw6i3R2fdTtkcWzdHb_mxQkdCKoc_UpjjJWyq_U%3D&cs=1_c515e70a&s=224&t=JA&pos=109&cpc=9908D8D4413DBB8A&ja=401273461&guid=0000019d7832cb7488e92f415e40d5e8&jobListingId=1010089897256&ea=1&vt=e&cb=1775841988262&ctt=1775849789659&srs=EMAIL_JOB_ALERT&gdir=1;;;
Cat5 Resources; Software Developer; ; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4399852598/?trackingId=VGA%2F6V7cGQoe9Ul6AlTZDw%3D%3D&refId=9CTnB1DOTAXOK7tKRdqhbw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3CwOzrPJXcDIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4399852598_ssid_14583149772_fmid_mw6pip~mnt78ntp~o8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4399852598_ssid_14583149772_fmid_mw6pip~mnt78ntp~o8-null-mw6pip~mnt78ntp~o8-null-null&eid=mw6pip-mnt78ntp-o8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYmM4YmNkZDI0OTkwYWU4NzZhN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThmOGNhYzg2Y2JiZDE5ZDM2MDk4N2U3NzdkZGM5ZmUzMDYzZDhiMzQzMzFkMWNjNjcsMSwx;;;
LaSalle Network; .NET Developer (WinForms); ; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4399470128/?trackingId=fqSWUb9AZA541iUuawIeHw%3D%3D&refId=9CTnB1DOTAXOK7tKRdqhbw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3CwOzrPJXcDIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4399470128_ssid_14583149772_fmid_mw6pip~mnt78ntp~o8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4399470128_ssid_14583149772_fmid_mw6pip~mnt78ntp~o8-null-mw6pip~mnt78ntp~o8-null-null&eid=mw6pip-mnt78ntp-o8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYmM4YmNkZDI0OTkwYWU4NzZhN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThmOGNhYzg2Y2JiZDE5ZDM2MDk4N2U3NzdkZGM5ZmUzMDYzZDhiMzQzMzFkMWNjNjcsMSwx;;;
Neos Consulting Group; Sr. .NET Application Programmer; ; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4395433764/?trackingId=vEtEvlMijduIWg4TADERxQ%3D%3D&refId=TPiiUrInwy99nvDMvtLFbg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=1X7VKPfXQsCIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4395433764_ssid_14583149772_fmid_mw6pip~mns0dg1b~h8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_0_jobid_4395433764_ssid_14583149772_fmid_mw6pip~mns0dg1b~h8-null-mw6pip~mns0dg1b~h8-null-null&eid=mw6pip-mns0dg1b-h8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjM4OGNmZDM0MTlkYTg4YzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjZGU0ZGQ2Yzk4Y2Y5YjAyZjBhY2M1ZDg4OTMzMjI1MWRhZDdhM2MyMjY4MTE2ODQsMSwx;;;
Confidential; Software Engineer; 55-65/hr; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4398531673/?trackingId=X0XNvYzZHYTI87MpZn5W%2Bw%3D%3D&refId=TPiiUrInwy99nvDMvtLFbg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=1X7VKPfXQsCIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4398531673_ssid_14583149772_fmid_mw6pip~mns0dg1b~h8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_4_jobid_4398531673_ssid_14583149772_fmid_mw6pip~mns0dg1b~h8-null-mw6pip~mns0dg1b~h8-null-null&eid=mw6pip-mns0dg1b-h8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjM4OGNmZDM0MTlkYTg4YzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjZGU0ZGQ2Yzk4Y2Y5YjAyZjBhY2M1ZDg4OTMzMjI1MWRhZDdhM2MyMjY4MTE2ODQsMSwx;;;
Pure Talent Consulting; Software Engineer; ; 4/10/26;Open; 4/10/26;; https://www.linkedin.com/jobs/view/4395472615/?trackingId=FoD27mMZDqze1VV9d4Novg%3D%3D&refId=TPiiUrInwy99nvDMvtLFbg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=1X7VKPfXQsCIc1&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4395472615_ssid_14583149772_fmid_mw6pip~mns0dg1b~h8&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4395472615_ssid_14583149772_fmid_mw6pip~mns0dg1b~h8-null-mw6pip~mns0dg1b~h8-null-null&eid=mw6pip-mns0dg1b-h8&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWUyYjM4OGNmZDM0MTlkYTg4YzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThjZGU0ZGQ2Yzk4Y2Y5YjAyZjBhY2M1ZDg4OTMzMjI1MWRhZDdhM2MyMjY4MTE2ODQsMSwx;;;
SyaRose Technology Services, Inc; .net Developer; 45-60/hr; 4/10/26;Open; 4/10/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6Ilg4SkxzOHZJcmFhY0ozOFAwZFpQa0EiLCJtYXRjaF9pZCI6IjAxOWQ3NDRkLWIzZGMtN2ViYi1hMDM3LTAyNDljYjdlOTA2NCIsImJpZF90cmFja2luZ19kYXRhIjoiQUFGTGhCMjdRb1Y2STJQQWhXM1pmR0d2WjFKLVhzR08yazcwMlIwb3QxRWxMTGswR3k3amtFUTZzcmpUNW9laWhseU5oelp6Iiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153;;;
