Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link
Intelex Technologies ULC; Software Developer; ; 5/7/26;Open; 5/7/26;; https://www.linkedin.com/jobs/view/4402229024/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4402229024_ssid_15257593100_fmid_mw6pip~movs4n4j~2k&refId=DkJoIdEhKfgqB%2BJDBeKxTg%3D%3D&trackingId=%2BqXpeGIShiniE%2FhzBogcsw%3D%3D
Xoriant; C# Software Engineer; ; 5/7/26;Open; 5/7/26;; https://jobright.ai/jobs/info/69fbf8b33160b250eb1bae50?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778174100315_8533&utm_medium=email
Nasscomm; Senior .NET Backend Developer; ;5/7/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/69fbda9238179b6f1ae7b1f9?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778174100315_8533&utm_medium=email
Orion Innovation; Full Stack Engineer; ; 5/7/26;Open; 5/7/26;; https://jobright.ai/jobs/info/69fc9f7a938a651755f956f6?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778174100315_8533&utm_medium=email
Navigate360; Senior .NET Engineer; ; 5/7/26;Open; 5/7/26;; https://jobright.ai/jobs/info/69fbf6763160b250eb1bab72?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778174100315_8533&utm_medium=email
Stefanini Group; .Net Software Engineer; 50-60/hr; 5/7/26;Open; 5/7/26;; https://jobright.ai/jobs/info/69fbef5a3802c7621fd8e57c?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778174100315_8533&utm_medium=email
System One; .NET Mainframe Developer; ; 5/7/26;Open; 5/7/26;; https://www.dice.com/job-detail/4d6dd98a-d683-4ded-8bf4-8c1d6d6819a1
Aspira; Senior software Engineer .NET; ; 5/7/26;Open; 5/7/26;; https://www.indeed.com/viewjob?jk=f3201135d0d7e294&tk=1jnvlvbqjgd2c800&from=serp&vjs=3
Datamaxx; Software Engineer - .NET /Full Stack; 76-100k; 5/7/26;Open; 5/7/26;; https://www.indeed.com/viewjob?cmp=Datamaxx&t=Full+Stack+Developer&jk=d3e2fa4ac92efc0e&q=c%23&xpse=SoBb67I3k_kqlNSLCB0LbzkdCdPP&xfps=6ebf45a5-f8c7-4909-8d6f-717c4f9b0850&xkcb=SoBM67M3k_jyWTSesZ0GbzkdCdPP&vjs=3
Marathon TS; Software Engineer (C# .NET Developer); 100-110k; 5/7/26;Open; 5/7/26;; https://www.indeed.com/viewjob?cmp=Marathon-TS&t=Software+Engineer&jk=17cc9402e708aa49&q=c%23&xpse=SoAZ67I3k_kh3hSLCB0LbzkdCdPP&xfps=e0bdd735-b1d8-49d6-ac56-c93bea0edca9&xkcb=SoDB67M3k_kkDySQ5R0KbzkdCdPP&vjs=3
Spectra Tech Inc; Software Engineer (job code 4275); ; 5/8/26;Open; 5/8/26;; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6ImxBSFg0SWstRE5jeVJrWUJRZmVNTFEiLCJtYXRjaF9pZCI6IjAxOWUwODc5LTI4NzYtN2VjNi1iMTM4LWU2NDhjYjVjYTgwOSIsImJpZF90cmFja2luZ19kYXRhIjoiQUFGYm5lRExObW8xOVhEeVYxQzJvc21SUXVmYVY4RzlreF9OSEV5bEtWamk2N0xWQ0dtUDNJcmc1ODZhYmNFY1dYNkY1RW5rIiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153
Hallmark; Sr. Software Engineer (Remote); 135k; 5/8/26; Rejected; 6/1/26; Rejection Received; https://www.glassdoor.com/job-listing/sr-software-engineer-remote-hallmark-marketing-company-JV_IC1131040_KO0,27_KE28,54.htm?jl=1010118447216&utm_source=jobactivity&utm_medium=email&utm_term=jobactcommodvar&utm_content=jas-recentjobs-jobpos2-noage-1010118447216&utm_campaign=jas&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-3-1jo32v9ip2cs9g00&cs=1_085af7a9&s=239&t=JA&pos=108&guid=0000019e062fa644bff9a222e931bbe4&jobListingId=1010118447216&vt=e&cb=1778220246730&ctt=1778260379770&gdir=1
GovPilot (SDL); Senior software Engineer; ; 5/11/26;Open; 5/11/26;; https://www.linkedin.com/jobs/view/4398214021/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4398214021_ssid_15257593100_fmid_mw6pip~mp0b0uhb~9k&refId=eWoGhJfrGI6i%2FrdlWVVIVw%3D%3D&trackingId=hko%2BjZ2Rm4P1axy0l1gr6Q%3D%3D
Magna Legal Services; Senior Software Engineer; 160-180k; 5/11/26;Open; 5/11/26;; https://www.linkedin.com/jobs/view/4380953491/?trk=eml-email_jobs_facet_suggestions-JOBS_POSTING_SECTION_1-0-job_card_0_jobid_4380953491_sectionid_275008_fmid_mw6pip~mp16br5t~1t&refId=Ez0ghTpZmGqjGlfOI5TzCQ%3D%3D&trackingId=1iM34Do%2BYPdpxpBh1izuLw%3D%3D
OneWay; Software Engineer; 60-150k; 5/11/26;Open; 5/11/26;; https://www.glassdoor.com/job-listing/software-engineer-oneway-JV_KO0,17_KE18,24.htm?jl=1010127956251&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-age2d-1010127956251&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1joa6g544h70i801-fd020c83c4e8f580&cs=1_812b9af2&s=224&t=JA&pos=103&ja=388890994&guid=0000019e13fa9045ac4e5e2f8282b90d&jobListingId=1010127956251&ea=1&vt=e&cb=1778458826083&ctt=1778505662439&srs=EMAIL_JOB_ALERT&gdir=1
Point Software Solutions; Software Engineer; 25-50/hr; 5/11/26;Open; 5/11/26;; https://www.glassdoor.com/job-listing/software-engineer-point-software-solutions-JV_KO0,17_KE18,42.htm?jl=1010127204483&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos6-age2d-1010127204483&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jo9ob8l8g36p800-c2998bb8d545f60c&cs=1_40f0a0ac&s=224&t=JA&pos=106&ja=380629936&guid=0000019e135619b4bb8421461817db0a&jobListingId=1010127204483&ea=1&vt=e&cb=1778443985830&ctt=1778507137971&srs=EMAIL_JOB_ALERT&gdir=1
Progressive Insurance; Software Developer Mid or Senior; 98-137k; 5/11/26;Open; 5/11/26;; https://jobright.ai/jobs/info/6a02022b238f143e8352fc68?utm_source=1121&imp_id=3673496432511879909__instant_push__1778517068235_1850&utm_medium=email
StorSuite; Senior .NET Engineer (Microservices & API Integrations); ; 5/11/26;Open; 5/11/26;; https://jobright.ai/jobs/info/6a0197fafa1aa73213d93b07?utm_source=1121&imp_id=3673496432511879909__instant_push__1778517068235_4423&utm_medium=email
Olivine, Inc; .NET Software Developer; ; 5/11/26;Open; 5/11/26;; https://jobright.ai/jobs/info/6a01e49b3053db70a1172fab?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1778517146242_8492&utm_medium=email
Konexial Inc.; Backend Web Developer; 20-30/hr (WTF??); 5/11/26;Open; 5/11/26; Very low rate, but willing to hear more about them as they are in Knoxville.  Konexial.com; https://www.ziprecruiter.com/jobs/v2/eyJsaXN0aW5nX2tleSI6IkUxeFNhTkVlcWhvZUxyZGY1ZFJITHciLCJtYXRjaF9pZCI6IjAxOWUxN2U1LTAxODctN2YwMC1iN2VhLWIyYTljMWY0NzdhMSIsImJpZF90cmFja2luZ19kYXRhIjoiQUFITEZJdzZhMDdTbUpYamtoZ2Ztd3ozM1puV3FwcjJ3WmJfb2VCanA1MTktRmlDOGdHLXQ1OHpmbjlmdE1CRlh3cEl1LWk3Iiwic291cmNlX3BsYWNlbWVudF9pZCI6NDMwMjR9?tsid=111000153
OptimHire; Senior Backend Software Engineer .NET/AWS (514 @ Ubiminds; ; 5/11/26;Open; 5/11/26;; https://opty.in/bnlJCB8
Lifelancer; Back End (C# .NET) Software Engineer; ; 5/11/26;Open; 5/11/26;; optimhire.com
Rockwell Automation; Senior Software Engineer (C#/SQL) - Plex; ; 5/11/26;Open; 5/11/26;; https://www.dice.com/job-detail/d8a5558a-bc6c-46c9-974e-51bf7b0d21c6
Accenture; COBOL Developer 6292208; 50-60/hr; 5/14/26; Rejected; 5/22/2026;; https://www.indeed.com/viewjob?jk=17a84e8c2390da13&tk=1jof0do1egq69800&from=serp&vjs=3
Tech Holding; Senior .NET Engineer (Contract); ; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=ae4f80c1d1fb4cbc&tk=1joi0lg7ggdmm801&from=serp&vjs=3
ImagineX Consulting; Backend Technical Lead; ; 5/1426;Open; 5/1426;; https://www.indeed.com/viewjob?jk=de8a141ddf3f8bdd&tk=1joi0lg7ggdmm801&from=serp&vjs=3
Opendorse; Full-Stack Software Engineer (.NET/React); ; 5/1/26;Open; 5/1/26;; https://www.indeed.com/viewjob?jk=5c6169632aba3a53&tk=1joi0na68gksg800&from=serp&vjs=3
Talent Software Services - Prabhdeep Singh; Mainframe Programmer Remote Role - State of SC; ; 5/14/26;Open; 5/14/26;; prabhdeep@talentemail.com
Skillable; Senior Software Engineer; 130-150k; 5/14/26; Rejected; 5/22/2026;; https://www.glassdoor.com/job-listing/senior-software-engineer-skillable-JV_KO0,24_KE25,34.htm?jl=1009617313694&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-age1d-1009617313694&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jojeimqvj71i800-1f27764513ecd7e7&cs=1_cf62c992&s=224&t=JA&pos=109&ja=378462087&guid=0000019e26dcfe40a7caab3a401bec6a&jobListingId=1009617313694&vt=e&cb=1778769288327&ctt=1778781996502&srs=EMAIL_JOB_ALERT&gdir=1
Dayforce; Software Developer III; 77-137k; 5/14/26;Open; 5/14/26;; https://www.linkedin.com/jobs/view/4413075094/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4413075094_ssid_14583149764_fmid_mw6pip~mp4crs4a~xt&refId=zdCzNqaIb4LuTlLsPfuA9A%3D%3D&trackingId=%2F1LIe%2FfA%2Bn8x9WT41kAP%2Bg%3D%3D
Rec Gen; Software Engineer; ; 5/14/26;Open; 5/14/26;; https://www.linkedin.com/jobs/view/4413761412/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4413761412_ssid_14583149764_fmid_mw6pip~mp5jmzi8~6a&refId=3fAo4%2F19g7pDKUUKWa%2Bt0Q%3D%3D&trackingId=7c42JnUwpeAMBRrBNNDWuw%3D%3D
Andersen Inc.; Backend Developer (.NET) in the USA; 42-55k (WTF??); 5/14/26;Open; 5/14/26;; https://www.dice.com/job-detail/30ee8d9c-89ed-45b7-90e3-7feb33e77a11
InfoPeople Corp; FullStack Developer; 60-65/hr; 5/14/26;Open; 5/14/26;; https://www.dice.com/job-detail/0a51441d-6433-4b59-b21c-5d9ef0dace31
Inflow Federal; Software Engineer; ; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=d9e6e5e46c0676fc&tk=1jof0ch6rgiml803&from=serp&vjs=3
One Identity; Senior Software Engineer (Backend) Job ID 2026-13142; ; 5/15/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a068d69bc4184089f2505e6?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_7843&utm_medium=email
CharityEngine; Senior .NET Software Developer; 120-150k; 5/15/26;Open; 5/15/26;; https://jobright.ai/jobs/info/6a059027a88ea73abf7f2044?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_5359&utm_medium=email
HungerRush; Software Engineer II; ; 5/15/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0618dfbc4184089f24b126?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_5359&utm_medium=email
Qualitest; .NET / WinForms Developer; ; 5/15/26;Open; 5/15/26;; https://jobright.ai/jobs/info/6a06416e7c753c287f7012ff?utm_source=1121&imp_id=3673496432511879909__instant_push__1778817906834_5359&utm_medium=email
General Motors; Senior Integration Lead - GM Motorsports (JR-202603971) (Remote in Concord NC?);   ; 5/15/26; Rejected; 5/29/26; Rejection Received; https://www.dice.com/job-detail/830e4055-1fd7-449b-8061-2ccbe5a93ed8
Clearwaters.IT; Senior .NET Developer; 125-135k; 5/14/26;Open; 5/14/26;; https://www.indeed.com/viewjob?jk=81606874579a6000&tk=1jof0ch6rgiml803&from=serp&vjs=3
Verisma; Software Engineer; 110-125k; 5/15/26;Open; 5/15/26;; https://www.indeed.com/viewjob?jk=1ce65b39e6b70a77&tk=1jof0do1egq69800&from=serp&vjs=3
Sanametrix; Senior .Net Developer; 160-180k; 5/15/26; Rejected; 5/22/2026;; https://www.glassdoor.com/job-listing/senior-net-developer-sanametrix-JV_KO0,20_KE21,31.htm?jl=1010134316516&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-age1d-1010134316516&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jom1gl3mia5p800-6e0cd3be5db4c558---6NYlbfkN0CyQKdz8_lqdlgY-c-amsQST66Z8QjChsyYA8vzcGklWAhCJIzjv5ewRpMaX5jwO7acmX6Qoqfz4bm_yUymadbgUSeIVQrHgICF04NcIPVDjbGaa36zbvFRXlP9uPMEP6LUMgFWojHXm8FwF7pG5MJaawkLK36WKNEHHcWcaSPSjZYO0BmkXmSvmG1elDS1F0gw3OYo1weeRT74Eic3Tz58-sYMW9haxNVMu-GCdBZTJD5cMyqX7lmndCVUTnsOKJHD5u_wNjvOFyVroxM8N8IvhowDBZIMjmgRD3XuXCoaea7XRLDhOG9YMA4dCJWhWYDaxnM4LSX14kiEiP3kOTTwTKpok6SBcUhTjFNV18rYnrREGDr6P8JMRBOFTAQ8ehN12WfnSEgAaY3mX3VZXEjCF1yeqTE4jyR1ik317d0OCbiLmW2X-qQnjbE_rwuUCFHr4KEtv41c7l3ptKDb_R807XkM5d76fn_-5ZA_CkNPdDJPM4Mj2aBN8anwxttEvCDBxBx33ufdeDBRfnXrhIvAX_6FaAiS8AYOoV-eI2dw2PedOCjIL7VewMuV4vZmklaWHjQEijKwbbf3zi82zGhcH_b9e_Zw_EglJmOq8-ADAXRxvF1c8PuUj0TighD2xhdRIqVeJR_Kh5gQ7O9mx1_3bIfrjGnkVlMe8p3WNhZK-9wSLFIFSIqf6Kwx9nxBhPZwgr3hipYBP9laL0WMmRl7EQlrxSwJoP0p_G4GKWllTD4_nZ7Kz0iwgn2k1n1lcagErkqj1oOWBpr29EBrpKsiuGZUFBzRjKMFU4Nlv5rVD6yJJEV0QKbHSC2mGhKyUne3vX1wXooHUN_-mGYW77jFm-sIKlncNew%3D&cs=1_8a34738e&s=224&t=JA&pos=101&cpc=9908D8D4413DBB8A&ja=399775333&guid=0000019e2c03c025ae84e2eae6553e71&jobListingId=1010134316516&ea=1&vt=e&cb=1778856252762&ctt=1778858756000&srs=EMAIL_JOB_ALERT&gdir=1
HealthEdge; Senior Software Engineer; ;5/18/26;Open;5/18/26;; https://www.linkedin.com/jobs/view/4397396926/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4397396926_ssid_15257593108_fmid_mw6pip~mpb9edle~e4&refId=G17TzIoDT2YD3DApj4efYg%3D%3D&trackingId=m2yPMvhonzk4xxQu12jOpg%3D%3D
Cross River; Senior Software Engineer; 160-200k; 5/18/26; Rejected; 5/22/2026;; https://www.linkedin.com/jobs/view/4375616627/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_2_jobid_4375616627_ssid_15257593108_fmid_mw6pip~mpb9edle~e4&refId=G17TzIoDT2YD3DApj4efYg%3D%3D&trackingId=NEmelxIx%2BaMI84BxIRAA4g%3D%3D
Finance of America; Software Developer Senior (SOFTW006609); ; 5/19/26;Open; 5/19/26;; https://jobright.ai/jobs/info/6a0b5ed2538d03366dc84bad?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Nexaminds; AHC - Sr. Fullstack Enginer (C#, .NET, React, AI); ; 5/19/26;Open; 5/19/26;; https://jobright.ai/jobs/info/6a0baa734d932036368731d6?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Aerostrat; Senior Software Engineer (Full-Stack); ; 5/19/26; Rejected; 6/5/26; Rejection Received; https://jobright.ai/jobs/info/6a0bc69c0411d7417a1b3fc6?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
BrothersTech; Dotnet Developer; ; 5/19/26;Open; 5/19/26;; https://jobright.ai/jobs/info/6a0b89b822d0d34036c8d88a?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Infobahn Softworld Inc; Dotnet Developer; ;l 5/19/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0b89b822d0d34036c8d88a?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
Seneca Resources; Software Developer III (179114498590); ; 5/19/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0b3bbb538d03366dc82e6e?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
McKeeson; Software Development Engineer (JR0147128); 116-193k; 5/19/26; Rejected; 5/22/2026;; https://jobright.ai/jobs/info/6a0b7326963f7a67d95cfda7?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1779207280226_8243&utm_medium=email
HealthEquity; Software Engineer II; 92-117k; 5/19/26; Rejected; 5/22/2026;; https://www.linkedin.com/jobs/view/4374328664/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_1_jobid_4374328664_ssid_14583149764_fmid_mw6pip~mpct4jkw~12&refId=8BHzwaje8o%2BXifDMn4YlDQ%3D%3D&trackingId=ZScpGVFWQOoPnGT5RGPt9A%3D%3D
Zone 5 Technologies; Software Applications Engineer III/IV; 135-192k; 5/19/26; Rejected; 5/29/26; Rejection Received; https://www.linkedin.com/jobs/view/4411758361/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4411758361_ssid_14583149764_fmid_mw6pip~mpct4jkw~12&refId=8BHzwaje8o%2BXifDMn4YlDQ%3D%3D&trackingId=0jr%2F4VcGnX15Z5CqmQc1Lg%3D%3D
BJC HealthCare; Software Developer; 110-145k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/software-developer-bjc-healthcare-JV_KO0,18_KE19,33.htm?jl=1010138364325&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-agept-1010138364325&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-2658bbd439b05621&cs=1_9a0bb776&s=224&t=JA&pos=101&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010138364325&ea=1&vt=e&cb=1779202388122&ctt=1779208870336&srs=EMAIL_JOB_ALERT&gdir=1
Regent University; Software Engineer; 67-107k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/software-engineer-regent-university-JV_IC1130324_KO0,17_KE18,35.htm?jl=1010134816266&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos4-age4d-1010134816266&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-d93ea6672fc7de92&cs=1_0fd2bf95&s=224&t=JA&pos=104&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010134816266&vt=e&cb=1779202388119&ctt=1779208883130&srs=EMAIL_JOB_ALERT&gdir=1
Upland Capital Group; Quality Assurance & Test Engineer - Contract Assignment - Remote; 50-65/hr; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/quality-assurance-test-engineer-contract-assignment-remote-upland-capital-group-JV_KO0,58_KE59,79.htm?jl=1010138656971&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-agept-1010138656971&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-4deccc0c7d8dc171&cs=1_167ac40c&s=224&t=JA&pos=109&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010138656971&ea=1&vt=e&cb=1779202388123&ctt=1779208916565&srs=EMAIL_JOB_ALERT&gdir=1
Hii; DSCA .Net Core Developer (Software Engineer) (28637); 80-150k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/dsca-net-core-developer-software-engineer-hii-JV_IC1130337_KO0,41_KE42,45.htm?jl=1010138544993&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos12-agept-1010138544993&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0bjrtsm93i800-4f13e331809e2b91&cs=1_259227c6&s=224&t=JA&pos=112&ja=399775333&guid=0000019e409ca1dbb8ee6e632e5620e3&jobListingId=1010138544993&vt=e&cb=1779202388119&ctt=1779208930026&srs=EMAIL_JOB_ALERT&gdir=1
Digital Cloak; Senior Software Developer; 127-137k; 5/19/26;Open; 5/19/26;; https://www.glassdoor.com/job-listing/senior-software-developer-digital-cloak-JV_KO0,25_KE26,39.htm?jl=1010138643550&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos8-agept-1010138643550&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jp0b7fhah74s800-df90614b980f8ae1&cs=1_09abd0f0&s=224&t=JA&pos=108&ja=378462087&guid=0000019e409c91cd994fe1e44144563d&jobListingId=1010138643550&vt=e&cb=1779201982270&ctt=1779209023347&srs=EMAIL_JOB_ALERT&gdir=1
CGI; Automation, Reporting, & Content Development Engineer (J0526-1362); ; 5/19/26;Open; 5/19/26;; https://clients.njoyn.com/corp/xweb/xweb.asp?NTKN=c&page=login&BRID=1300972&jobid=J0526-1362
LuminDigital; Software Engineer; ; 5/19/26;Open; 5/19/26;; https://jobs.lever.co/LuminDigital/b033b735-ba2c-4d2f-a94d-e9ee9a1144a5/apply
Chainguard; Senior Software Engineer (.NET); 157-184k ; 5/19/26; Rejected; 5/29/26; Rejection Received; https://job-boards.greenhouse.io/chainguard/jobs/4672909006
Populate; Senior .NET Software Engineer; ; 5/19/26;Open; 5/19/26;; https://job-boards.greenhouse.io/applytopopulate/jobs/4962891004
Baxter; Field Service Technician II - Knoxville (JR- 201331); 47-57k ; 5/21/26;Open; 5/21/26;; https://jobs.baxter.com/en/job/-/-/152/94975773792
