Company; Position; Rate; ApplicationDate; Link; Status; StatusDate; Comment
Actalent (Daniel Bassindale) (Locknet); Software Engineer; 63/hr; 1/14/26; ; ; ; Contract to Hire; Phone Interview 1/15; Completed Predictive Assessment 1/16
Boeing; Mid-Level Software Developer; 107-156k; 1/14/26; https://www.dice.com/job-detail/2875ac44-a5b0-4bfe-89e2-37e8027d3770?utm_source=iterable&utm_medium=email&utm_campaign=6582207&utm_content=apply_nowhiring&%243p=e_iterable&_branch_match_id=1537570213820068771&_branch_referrer=H4sIAAAAAAAAAzWPzWrDMBCEn0a5yTaSHbkFU0pDXkNI8sZWqj%2FWMiKXPntlQ2APM9%2ByM%2Byac9o%2B23a2BhqVUuNs%2BG15%2BiKs52kCaTOg0g4uFUS0iw3KyR3dtB6XhH8Tdq9TSmnODBN9tc%2Bo6QxZWVcNG8WgTN9TNeiO9voBdPwARrmAsWNi5kJ0hN%2F37OUWdzRA%2BO1dS9j14B5mu%2FvKwZ%2BZJzTKJ2WXUPF1GBnrxHsRQ4aQK68fuZcMsawWbVgufwgPwENKjbFsgNPPitHDP3%2FoycsIAQAA; Rejection; 1/15/26
Precisely; Software Engineer;; 1/14/26; https://www.linkedin.com/jobs/view/4360726334/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593100&refId=bKcU%2BfIf4YJo1dW9j%2FPsYw%3D%3D&trackingId=yS3L7bqZ2sChwkY4At5p4Q%3D%3D; ;
Jobgether; Software Engineer - REMOTE;122-185k; 1/14/26; https://www.linkedin.com/jobs/view/4360755528/?trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_15257593100&refId=bKcU%2BfIf4YJo1dW9j%2FPsYw%3D%3D&trackingId=cY2N3Hg5cBCcoAbaTLgOsQ%3D%3D; ;
G2i Inc.; Sr. SWE for Code Reviewing LLM Data Training (C#);;1/14/26; https://jobright.ai/jobs/info/6967deda639b452fb57d7612?utm_source=1025&imp_id=3673496432511879909__digest_job_alert__1768422266519_4889&utm_medium=email; ;
Talent Software Services; Senior Software Engineer (.NET/ASP.NERT MVC);60-62/hr; 1/14/26; https://www.linkedin.com/jobs/view/4353104055/; ;
Robert Half; .Net Developer;60-65/hr; 1/14/26; https://www.linkedin.com/jobs/view/4354449029/; ;
360CyberX; Software Engineer / Developer (Entry - Mid Level); 100-120k; 1/14/26; https://www.linkedin.com/jobs/view/4354877769/; ;
cFocus Software Incorporated; DOW - Applications Programmer; ; 1/14/26; https://www.glassdoor.com/job-listing/dow-applications-programmer-cfocus-software-JV_KO0,27_KE28,43.htm?jl=1009996712563&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos11-agept-1009996712563&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jeui13q321c9000-244b55c97fd24cf4&cs=1_dc3c637d&s=224&t=JA&pos=111&ja=378462087&guid=0000019bbd06ad248aa24d73729c34ab&jobListingId=1009996712563&ea=1&vt=e&cb=1768404586752&ctt=1768424620188&srs=EMAIL_JOB_ALERT&gdir=1; ;
BeyondTrust; Sr Software Development Engineer;; 1/14/26; https://www.glassdoor.com/job-listing/sr-software-development-engineer-beyondtrust-JV_KO0,32_KE33,44.htm?jl=1009996589597&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos9-agept-1009996589597&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jeui13q321c9000-cd22b12f93e5870a&cs=1_093d3c5d&s=224&t=JA&pos=109&ja=378462087&guid=0000019bbd06ad248aa24d73729c34ab&jobListingId=1009996589597&ea=1&vt=e&cb=1768404586752&ctt=1768424613721&srs=EMAIL_JOB_ALERT&gdir=1; ;
WCG; Senior Software Engineer (Remote);88-137k; 1/14/26; https://www.glassdoor.com/job-listing/senior-software-engineer-remote-wcg-JV_IC1138945_KO0,31_KE32,35.htm?jl=1009996968207&utm_source=jobalert&utm_medium=email&utm_term=jfytspvar2&utm_content=ja-jobpos5-agept-1009996968207&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jeui13q321c9000-8699f35f91a8805a&cs=1_a7ffd3de&s=224&t=JA&pos=105&ja=378462087&guid=0000019bbd06ad248aa24d73729c34ab&jobListingId=1009996968207&vt=e&cb=1768404586751&ctt=1768424595586&srs=EMAIL_JOB_ALERT&gdir=1; Rejection; 1/21/26
Careforth; Software Engineer II (Mid-level); 96-145k; 1/14/26; https://www.linkedin.com/jobs/view/4354773800/?trackingId=KvjgyxTjmT8r4RhFkRBPeg%3D%3D&refId=xtvszDHvKOMAWTiOH10%2BRA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2Elzg1jbBQLc41&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149764&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149764-null-mw6pip~mkeo8bxi~sc-null-null&eid=mw6pip-mkeo8bxi-sc&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjA4Y2NhZDU0MTljYWQ4ZjY5N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlMmVmZDM3M2E5YzI5YzBmNDU0NTBmYWRhODRjNmNmN2U1YzUyMWRiM2I4MWFjNWYsMSwx; ;
Daxko; Software Engineer  - .Net;94-134k; 1/14/26; https://www.linkedin.com/jobs/view/4361611553/?trackingId=UNsWLwwnSs6Y9s%2Fa9xbTqw%3D%3D&refId=QoRV7E88R7izd49214pJJA%3D%3D&eBP=CwEAAAGbujX1A-MmJrEh1QNCFnExLBN8Ijs-gxq1tVsx_meEFA8wXYECY0fDU7oe0VhfXyTV2Ak2CF8F7xMq2KGjjULWT9TkuvTecw8ce7-TmbFgWlZR2aA-Rd4d7EeMSLKmwE35SX7kvf3zS1UrO3Wai_XqWBKAIp02iWTUDdt73Roa0Ak_hjIs5lx69BHDwaESozr4z3ZRS_ThaUB0aLSXAp1Fq8m-f_8pu0Yz9sSeyxZqb_nyga0zuLIM_aPJBj7YWfvtZ_wf75ipAs1LkY1TuX-R_-4Rpne1P1shCXb3nKP8CIqfFs66b3tnGVPEaqaBbUu7RSliLxstrPXCPIPMg9XML9JmqSa1snfiKoIXwhS8G7wZMwjI8AdrajS29wiwGAa6Z8dP2MiVyrP-hfbGBo_RV4XuI78ny91NdASLmWMSf_wOBEEZfNyV_oCH8sO4pd4D55PItEW-3mgnjho&midToken=AQE_3XQkBAKpjA&midSig=01X1IdHXyyLc41&trk=eml-jobs_jymbii_digest-job_card-0-jobcard_body&trkEmail=eml-jobs_jymbii_digest-job_card-0-jobcard_body-null-mw6pip~mkepu728~yd-null-null&eid=mw6pip-mkepu728-yd&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjA4Y2M5ZDI0OTliYWQ4OTZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlMWRmZTg1OThiZWM5OTExZTRmMTM0OWE5ODJlMWE5ZTFlNWI2NzIwZmUxZDA2NDQsMSwx; ;
MedBillPartner, Inc (Anaheim, CA - Remote); C# Developer; 50-125/hr; 1/16/26; https://www.ziprecruiter.com/jobs/a/b?lk=xw5HVg2yZjP4P663gbDnQQ&tsid=111000153; ; ; looking for exp in Dev Express Winforms Controls
SmartIPlace; Senior .NET Developer; 70-75/hr; 1/16/26; https://www.ziprecruiter.com/jobs/a/b?lk=ntXcKKaqi8wwy2zD3upu4w&tsid=111000153; ;
FeneTech | A Cyncly Company; Software Engineer (Azure and .Net); 85-110k; 1/16/26; https://jobright.ai/jobs/info/69698833f25a380066982d87?utm_source=1121&imp_id=3673496432511879909__instant_push__1768534398491_1902&utm_medium=email; ;
Livefront; Senior Backend Engineer, .NET;130-165k; 1/16/26; https://jobright.ai/jobs/info/69695794639b452fb57f2331?utm_source=1121&imp_id=3673496432511879909__instant_push__1768534398491_1902&utm_medium=email; Rejection; 1/15/26
Blue Cross NC; Principal Developer;130-208k; 1/16/26; https://www.linkedin.com/jobs/view/4359291063/?trackingId=xQ4FN32dR4HpP2cZEhCy%2Fw%3D%3D&refId=4x526YCW49nTsdUuKwhbIw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=28b_K-kdBtNs41&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149772&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_14583149772-null-mw6pip~mkgxofj3~qp-null-null&eid=mw6pip-mkgxofj3-qp&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjE4OGNmZDM0OTk4YWU4ODYyN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlNGZiYzM0MDgwZmRiNjJlNWUxZGU4YjVlOTdlZTdiYWZkMGZiOTQwZGQ4NDBjYWIsMSwx; ;
Amigos; Software Engineer;180-200k;1/16/26; https://www.linkedin.com/jobs/view/4353035880/?trackingId=35o8JgEmTIW7B3bTWrKrAQ%3D%3D&refId=d2shIQg9TK6Z3Mgjva1Eww%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0dK13TypkkMI41&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-mw6pip~mkg3o6qh~1p-null-null&eid=mw6pip-mkg3o6qh-1p&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjE4ZGNlZDg0OTlmYWQ4YTY4N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGQxZDUwN2E3ZmM4MDI5YzdhYTQ5YzZhODhmNTUyZjI0YmQwMGQ5YzAyNTZmMGMsMSwx; Rejection; 1/19/26
Lorven Technologies inc,; .NET Developer - Investment Banking;;1/16/26; https://www.linkedin.com/jobs/view/4359001512/?trackingId=%2B9NJFazUQIy%2FG7xs1FkzZA%3D%3D&refId=h%2BcEgYEERF6kOlxeOy2ddQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0dK13TypkkMI41&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-mw6pip~mkg3o6qh~1p-null-null&eid=mw6pip-mkg3o6qh-1p&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjE4ZGNlZDg0OTlmYWQ4YTY4N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGQxZDUwN2E3ZmM4MDI5YzdhYTQ5YzZhODhmNTUyZjI0YmQwMGQ5YzAyNTZmMGMsMSwx; Rejection; 1/19/26
Motin Recruitment; Dotnet Consultant; 60-65/hr; 1/16/26; https://www.linkedin.com/jobs/view/4362405931/?trackingId=Om%2BfieqXTTmguWhAKV1O8A%3D%3D&refId=8GAroV1jR56JbOhux5y0Tw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0dK13TypkkMI41&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-mw6pip~mkg3o6qh~1p-null-null&eid=mw6pip-mkg3o6qh-1p&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjE4ZGNlZDg0OTlmYWQ4YTY4N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGQxZDUwN2E3ZmM4MDI5YzdhYTQ5YzZhODhmNTUyZjI0YmQwMGQ5YzAyNTZmMGMsMSwx; ;
Experian; Senior .NET Software Developer (Remote); 115-208k; 1/16/26; https://www.linkedin.com/jobs/view/4361668015/?trackingId=QX4etIzNSjaby8NAkcLIlw%3D%3D&refId=pPAgwt97QYOKfgRkijpePw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0dK13TypkkMI41&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-mw6pip~mkg3o6qh~1p-null-null&eid=mw6pip-mkg3o6qh-1p&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjE4ZGNlZDg0OTlmYWQ4YTY4N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGQxZDUwN2E3ZmM4MDI5YzdhYTQ5YzZhODhmNTUyZjI0YmQwMGQ5YzAyNTZmMGMsMSwx; Rejection; 1/16/26
Buyers Edge Platform (ArrowStream); .Net Software Engineer;;1/16/26; https://www.linkedin.com/jobs/view/4359081632/?trackingId=42GwFkf%2BS8OqO09kc73XDQ%3D%3D&refId=kJtTEEeTTQOdsljJe4yhyg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=0dK13TypkkMI41&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body-null-mw6pip~mkg3o6qh~1p-null-null&eid=mw6pip-mkg3o6qh-1p&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOGVmYjE4ZGNlZDg0OTlmYWQ4YTY4N2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkMGQxZDUwN2E3ZmM4MDI5YzdhYTQ5YzZhODhmNTUyZjI0YmQwMGQ5YzAyNTZmMGMsMSwx; ; 
Mriti InfoSystems Inc; .NET Developer; ;1/16/26; https://www.linkedin.com/jobs/view/4363700046/; ;
SmatData; Developer; 150-250k; ;Oh HECK NO!!!  NGN = Nigerian Naira; ; ;
IRIS Software Group; Senior Software Engineer;100-150k; 1/16/26; https://jobright.ai/jobs/info/696a6f8fdb26b618950da336?utm_source=1121&imp_id=3673496432511879909__instant_push__1768583717233_8535&utm_medium=email; Rejection; 1/22/26
Ameriflex; Mid-Level Software Engineer; 90-110k; 1/16/26; https://www.linkedin.com/jobs/view/4363700046/; ;
Precision Technologies; .NET Developer (Full-Time) Career Break Acceptable; 110k; 1/16/26; ; ;
Ascensus; Senior Software Engineer; 120-150k; 1/16/26; https://www.glassdoor.com/job-listing/senior-software-engineer-ascensus-JV_KO0,24_KE25,33.htm?jl=1009999430978&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos3-agept-1009999430978&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jf48tfrvgmud806-633b829f7b92639b&cs=1_67a9e677&s=224&t=JA&pos=103&ja=380629936&guid=0000019bc8662d88b1239d4db13626db&jobListingId=1009999430978&vt=e&cb=1768596357272&ctt=1768597174825&srs=EMAIL_JOB_ALERT&gdir=1; ;
Covius; Sr. Software Developer; 101-126k; 1/20/26; https://jobright.ai/jobs/info/696fed553ed06875134ad719?utm_source=1121&imp_id=3673496432511879909__instant_push__1768944084503_4610&utm_medium=email; ;
Granicus; Software Engineer 4; ; 1/20/26; https://jobright.ai/jobs/info/6959d93ef1f8465b79f0374f?utm_source=1121&imp_id=3673496432511879909__instant_push__1768944084503_3326&utm_medium=email; ;
Strategic Education, Inc; Software Engineer; 93-139k; 1/20/26; https://www.glassdoor.com/job-listing/software-engineer-strategic-education-JV_KO0,17_KE18,37.htm?jl=1009998409090&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos9-age5d-1009998409090&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jfel2j6nmvbk802-adbcc414ad0aeb61&cs=1_14cffb90&s=224&t=JA&pos=109&ja=380629936&guid=0000019bdcffa0a3b8ef5ff662aa501e&jobListingId=1009998409090&vt=e&cb=1768944651809&ctt=1768947804791&srs=EMAIL_JOB_ALERT&gdir=1;;
Ascend Technologies; Senior .NET Software Engineer; 115-125k; 1/20/26; https://www.glassdoor.com/job-listing/senior-net-software-engineer-ascend-technologies-JV_KO0,28_KE29,48.htm?jl=1010003222641&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos8-agept-1010003222641&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jfel2j6nmvbk802-342a53d4ad227407&cs=1_97e2571f&s=224&t=JA&pos=108&ja=380629936&guid=0000019bdcffa0a3b8ef5ff662aa501e&jobListingId=1010003222641&ea=1&vt=e&cb=1768944651809&ctt=1768947790566&srs=EMAIL_JOB_ALERT&gdir=1;;
Amentum; Software Engineer II; ; 1/20/26; https://www.glassdoor.com/job-listing/software-engineer-ii-amentum-JV_KO0,20_KE21,28.htm?jl=1010001700914&utm_source=jobalert&utm_medium=email&utm_content=ja-jobpos1-age2d-1010001700914&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jfel2j6nmvbk802-f57472b361ea997f&cs=1_385648cf&s=224&t=JA&pos=101&ja=380629936&guid=0000019bdcffa0a3b8ef5ff662aa501e&jobListingId=1010001700914&vt=e&cb=1768944651808&ctt=1768947699953&srs=EMAIL_JOB_ALERT&gdir=1;;
