Company;Position;Rate;ApplicationDate;Status;StausDate;Note;Link
FedEx; Full Stack Developer II; 80-141k; 3/4/26; Rejected; 4/4/2026;; https://www.indeed.com/viewjob?jk=7080e5bbffe9d193&tk=1jir6o87mgidq8k6&from=serp&vjs=3
Jerry AI; Software Engineer II (Full-Stack. Backend-leaning); 100-185k; 3/4/26;Open; 3/4/26;; https://www.indeed.com/viewjob?jk=c7b4eebc071a11a8&tk=1jir7b44agktn81v&from=serp&vjs=3
ComplexCare Solutions; Senior Software Development Engineer; 129-194k; 3/5/26;Open; 3/5/26;; https://www.indeed.com/viewjob?jk=24d0cc330b70d400&tk=1jitft1qhgnkh800&from=serp&vjs=3
Bluebeam; Senior Software Engineer; 129-178k; 3/6/26; Rejected; 4/6/2026;; https://jobright.ai/jobs/info/69aa35459ca4e908ec658bce?utm_source=1121&imp_id=3673496432511879909__instant_push__1772765024964_665&utm_medium=email
Rhythmllnk International LLC; 85-100k; 3/6/26;; Rejected;04/05/26;; https://www.ziprecruiter.com/jobs/a/b?lk=7yfVES0iBMGoOorsI_Y7DA&tsid=111000153
JSR Tech Consulting; .Net Developer - Remote; ; 3/6/26;Open; 3/6/26;; https://www.linkedin.com/jobs/view/4379659806/?trackingId=SH6AlJH%2BRxq%2BO2pqinxWtA%3D%3D&refId=ucKDuruTTzijC4wJ1%2FyMaw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=302frv7AfxRs81&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4379659806&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4379659806-null-mw6pip~mme5usoe~jt-null-null&eid=mw6pip-mme5usoe-jt&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU1YjM4YWM5ZDI0MTk4YWE4NjZlN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlYWY5ZDg0ZmE2YWZiNjE1OTM3ODU1OGVlNmY3OTM1OWE1OTMzZjc2NjZiZGYyNTksMSwx
Pentangle Tech Services | PS Group; Software Developer; ; 3/6/26;Open; 3/6/26;; https://www.linkedin.com/jobs/view/4381111436/?trackingId=B1dNFbZNSseDVDQ2iN05Ow%3D%3D&refId=TJcbJoT6SfaPw3KP0kcYgw%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=302frv7AfxRs81&trk=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4381111436&trkEmail=eml-email_jobs_viewed_job_reminder_01-job_card-0-jobcard_body_4381111436-null-mw6pip~mme5usoe~jt-null-null&eid=mw6pip-mme5usoe-jt&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU1YjM4YWM5ZDI0MTk4YWE4NjZlN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlYWY5ZDg0ZmE2YWZiNjE1OTM3ODU1OGVlNmY3OTM1OWE1OTMzZjc2NjZiZGYyNTksMSwx
Medical Solutions; Senior Software Developer; 110-150k; 3/6/26;Open; 3/6/26;; https://www.linkedin.com/jobs/view/4373867998/?trackingId=ldJNmhiFA3Am6knbv8RGrA%3D%3D&refId=71ykYt5mpUAvZPArxeVQNg%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2JgcGaeY2QRs81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4373867998_ssid_14583149772_fmid_mw6pip~mme48xgi~qf&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4373867998_ssid_14583149772_fmid_mw6pip~mme48xgi~qf-null-mw6pip~mme48xgi~qf-null-null&eid=mw6pip-mme48xgi-qf&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU1YjM4YWNhZDQ0OTljYTY4NjZkN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkOWIwZjMwN2IyZDZiODE1ZGRiZDgxNWVmNmM5ODljMmIxNTc3ODUxMzIwYjRkZjUsMSwx
Consilio LLC; Software Engineer; ; 3/6/26;Open; 3/6/26;; https://www.linkedin.com/jobs/view/4371188962/?trackingId=oYOJiHK%2B2Ik%2B5BY95gYg4g%3D%3D&refId=Zn%2BtYxtzWdR10lpOFCbnbA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=2uPz971eXZSc81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4371188962_ssid_14583149772_fmid_mw6pip~mmey966s~vk&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4371188962_ssid_14583149772_fmid_mw6pip~mmey966s~vk-null-mw6pip~mmey966s~vk-null-null&eid=mw6pip-mmey966s-vk&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU1YmM4ZmNhZDk0OTljYWU4YzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlOGY5Y2I1YzhlZDk5OTJjMmMwZTJjNmNhMTMyOTRlNTdjYmFjNWM2MDg3ZGUwNjQsMSwx
McKeesson Corporation; Sr IT Architect; 120-200k; 3/9/26; Rejected; 4/9/2026;; https://www.dice.com/job-detail/c4479a9b-2691-44b8-bf33-512a5b006109
Vitu Inc (Irmo SC); Software Engineer II (Remote); 83-120k; 3/9/26;Open; 3/9/26;; https://www.indeed.com/viewjob?jk=da6dc11d7a9bbe6e&tk=1jj6ut0tqgbjv82d&from=serp&vjs=3
INSPYR Solutions; Backend Engineer IV; 70-80/hr; 3/9/26;Open; 3/9/26;; https://www.indeed.com/viewjob?jk=7e619b37fd8bd278&q=back+end+developer&l=Remote&tk=1jj70q4h6ggr88b9&from=web&advn=6945276853420289&adid=413296650&ad=-6NYlbfkN0DfB6htSmwtpiA3_nwa1_Feoou46x6KuTQRuIGtW6X1AQKaGgDfTCyOz1sNZoyRREPOMhqeTVTrw58sVYEKtAA6Bk13_dpfttme2dOn0m6t7Aafof9DY_nxcG5HzT6QUzGeemrc0TxJ_C-tF75pFx3UKtpYVzJa254xbEwF2bV5m3QKDPKMKcZq4Y-rgJirWv9NbeDqTO3A7n7StgIVcjXklzrQMxV2QWwNQRkofTLR7ssT06YnTRWeIyvqRjndcK899FuQIlLuPKvfVJXyrA3Tj8LW-y797WgvCYG7JBro2WLY2-FYOMHdXUxmmLqEAATjf2DGbTehkgGpF4rZffcEJV_D6vCj7ldGlVBWGxH6gLaZmkyguIgb831Co3U4xrasq_R0qCjAD-yuL0jpNjKp_qtqQtp-GVuh_M8vX3tGUMkxbMWiL1oOwdOQ82P77HNX6WP0T6_elC0RipfowyzdBnomvUD18B5rW2aB7yu6SFYZWfWpwjUQJZIZWkVSJ4_Jc7aVPfgpZTNL-FpXVpqFG-vpQEiDvRuwMOwRthcFtg%3D%3D&sjdu=OQKmxPM5xCf-HGe0jZEAbeEuVP8WUUyP4TIe8fxBRyGY1R9DH7c0Slu1D1C06JAuflYHd4yhEJL4rYOd9vXJ5knuAndd4P8A4jrBbxw77JjHGwEn77iuNGLazuT2IGFxILj0KfiYmRyYuKpJMPm6Vtq9wIF6L5JCaAvk8VENu78E4iXN_iNHO08PWOKi8B1CTJVmBt4gCyG-7jNWwAoOgPpCzVQqPnpSWHjA7fJHBepdqm30xdfvkF6gzF4jEKXsDirFyCdWrPjyQG2nsef6MQ&acatk=1jj70rshnggik803&pub=4a1b367933fd867b19b072952f68dceb&camk=f416UQcMBpC5yZa8RWmvUA%3D%3D&xkcb=SoA-6_M3mnJnQ6AW_z0JbzkdCdPP&xpse=SoAH6_I3mnJgSuy0kJ0ObzkdCdPP&xfps=c1c779b5-2df1-47e5-a883-4764f802edd3&vjs=3
Collette; Software Engineer II; 80-140k; 3/9/26;Open; 3/9/26;; https://www.linkedin.com/jobs/view/4382175934/?trackingId=ZDEb2d1lS8jH1ktcx4c6iA%3D%3D&refId=WmIzPuVNjSemuzS%2B%2FSHJwA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3x7aj2L0QIVs81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4382175934_ssid_14583149772_fmid_mw6pip~mmi1pie9~on&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_3_jobid_4382175934_ssid_14583149772_fmid_mw6pip~mmi1pie9~on-null-mw6pip~mmi1pie9~on-null-null&eid=mw6pip-mmi1pie9-on&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU1YmQ4NmNjZDA0OTkxYTc4YjZhN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlY2I4ODY1ZWJkZDU5ZTE1YWMwYTVhYmU3Y2EwMzk4M2Q0OTA5ZmM2MWVjMjRlY2UsMSwx
Dexian; Software Engineer (Entra ID/C#/Power Apps); 60-63/hr; 3/9/26;Open; 3/9/26;; https://www.linkedin.com/jobs/view/4381059604/?trackingId=gpDwLN%2B3%2BrBvnkjMeiz4Cw%3D%3D&refId=WmIzPuVNjSemuzS%2B%2FSHJwA%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3x7aj2L0QIVs81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4381059604_ssid_14583149772_fmid_mw6pip~mmi1pie9~on&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4381059604_ssid_14583149772_fmid_mw6pip~mmi1pie9~on-null-mw6pip~mmi1pie9~on-null-null&eid=mw6pip-mmi1pie9-on&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU1YmQ4NmNjZDA0OTkxYTc4YjZhN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThlY2I4ODY1ZWJkZDU5ZTE1YWMwYTVhYmU3Y2EwMzk4M2Q0OTA5ZmM2MWVjMjRlY2UsMSwx
General Dynamics (GDIT); Intermediate Software Developer; ; 3/9/26; Rejected; 4/9/2026;; https://www.dice.com/job-detail/bc9c97c4-2384-415f-afbc-6feb6ae32709?utm_source=job_alerts&utm_medium=email&utm_content=intellisearch&utm_campaign=10016128&%243p=e_iterable&_branch_match_id=1534279828681668966&_branch_referrer=H4sIAAAAAAAAAzWMy2rDMBBFv0bZ%2BSW5TlwwpSTkN4Qkj%2B1J9WIk412%2FvYqhMIt7z2HulnNMn00zo4FaxVhb9D%2BNiF%2BM9yJOIDEDKW3hUkAgXNErK3ey0%2Fb%2BZOKb8We54zjqc8MEV%2Bor6GqGrNCWos1oxqvpKy5ufdV3H0ulFm2qYQE9KBD82o5MPPfsZAo7GWDiUQakskA5MT68jYMZd1cMuHP1hCb4DD4XiiVYiwkUme3fKhcVrr7orm27oeO3yy%2FBAkToV6kpHAloum8UHPwBzzEenwkBAAA%3D
Laiba Technologies LLC; .NET Software Developer; ; 3/9/26;Open; 3/9/26;; https://www.dice.com/job-detail/b5848e13-2ba2-46da-b708-42816d3b4e8c?utm_source=job_alerts&utm_medium=email&utm_content=intellisearch&utm_campaign=10016128&%243p=e_iterable&_branch_match_id=1534279828681668966&_branch_referrer=H4sIAAAAAAAAAzWMSWrEMBBFT6PeyYPkOCJgQkjoawgNFbs6mijLeJezR20I1OL%2F96i%2F1Vr2t7736KAzpXQB008vyzsTkywLaKxAxga4NZAJV0wm6IPCsj0%2Fmfxg4t7uPM%2Fu2nA5tvrIlnuoBkMr9kVNCkbJhTWCT7M33L4Oik9CjbOXdgLlmLwfNeo9H%2BSAya82oE0AqjsT89NE8HjEZiBeqxd0OVVItVFsIQTcwZDb%2Fq2JxeCamh6HYZxHoW6%2FBN9AhGnVlvK5Ay2fG%2BUIf3kefP0JAQAA
Crossing Hurdles; Backend Developer | Remote; 85/hr; 3/9/26;Open; 3/9/26;; https://www.linkedin.com/jobs/view/4381356683/?trackingId=8uq5IBezL4F8iX5nw1kFzw%3D%3D&refId=JHwPf5%2Fr6jipp0rcBXvSvQ%3D%3D&midToken=AQE_3XQkBAKpjA&midSig=3xx5vTisLxWs81&trk=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4381356683_ssid_14583149764_fmid_mw6pip~mmj8kqok~qo&trkEmail=eml-email_job_alert_digest_01-primary_job_list-0-jobcard_body_5_jobid_4381356683_ssid_14583149764_fmid_mw6pip~mmj8kqok~qo-null-mw6pip~mmj8kqok~qo-null-null&eid=mw6pip-mmj8kqok-qo&otpToken=MTMwNjE2ZTQxMTJmY2ZjMWJkMmQwZmViNDExOWU0YjQ4OWNhZDQ0MzlhYTg4YzZiN2JkYTAyNmU0ODVlNTlmMGZlZDRkY2ViMThkOWU4ODQ3MmYyYWZiNzM1Zjc0MGZiOTBhYmIwZTAyZTA0MGQxNDU2NzY1ODgxYTYsMSwx
Healthconnect Texas; InterSystems HealthShare Developer; 100-130k; 3/9/26;Open; 3/9/26;; https://www.ziprecruiter.com/jobs/a/b?lk=MLgl_Qo0TTH7_Aqn3qpwzg&tsid=111000038
Goldman Edwards, Inc; Sr. Application Programmer/Developer; 100-140k; 3/9/26;Open; 3/9/26;; https://www.ziprecruiter.com/jobs/a/b?lk=8wwmA1kciW_06JLBeibMTQ&tsid=111000038
Multi-Bank Securities, Inc.; Senior .Net Developer; 10/-118k; 3/9/26;Open; 3/9/26;; https://www.ziprecruiter.com/jobs/a/b?lk=8wwmA1kciW_06JLBeibMTQ&tsid=111000038
Simple; Senior .NET/ MS SQL Developer; ; 3/9/26;Open; 3/9/26;; https://jobright.ai/jobs/info/69ad7e81142d5b4265fea459?utm_source=1121&imp_id=3673496432511879909__instant_push__1773027265123_281&utm_medium=email
Optum; Sr Software Engineer - Remote; 92-164k; 3/9/26;Open; 3/9/26;; https://www.glassdoor.com/job-listing/sr-software-engineer-remote-optum-JV_IC1142521_KO0,27_KE28,33.htm?jl=1010057360989&cs=1_294f37ec&s=362&t=REC_JOBS&pos=102&src=GD_JOB_AD&guid=0000019ccfe4cce990c9ce2fb0a36875&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&jobListingId=1010057360989&ao=1136043&vt=e&jrtk=5-yul1-1-1jj7ur5nn2es2000-135ec7fbaed1555f&cb=1773074442750&ctt=1773074506103
Twilio; Software Engineer (L2); 117-172k; 3/9/26; Rejected; 4/9/2026;; https://www.glassdoor.com/job-listing/software-engineer-l2-twilio-JV_KO0,20_KE21,27.htm?jl=1010055051334&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos3-age3d-1010055051334&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jj7pmh9ck8gt800-be7da78eacb2959f&cs=1_f43bf597&s=224&t=JA&pos=103&ja=388890994&guid=0000019ccf77bca0ab0e4ec195c377da&jobListingId=1010055051334&vt=e&cb=1773009585761&ctt=1773062736536&srs=EMAIL_JOB_ALERT&gdir=1
BlueVoyant; Back End Software Engineer, Microsoft Azure Technologies; ; 3/9/26; Rejected; 4/9/2026;; https://www.glassdoor.com/job-listing/back-end-software-engineer-microsoft-azure-technologies-bluevoyant-JV_KO0,55_KE56,66.htm?jl=1010056155285&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos5-age3d-1010056155285&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jj7pmh9ck8gt800-45f67a14cc569676&cs=1_56e07bf8&s=224&t=JA&pos=105&ja=388890994&guid=0000019ccf77bca0ab0e4ec195c377da&jobListingId=1010056155285&ea=1&vt=e&cb=1773009585763&ctt=1773062752517&srs=EMAIL_JOB_ALERT&gdir=1
Versant Media (Orlando, FL); Software Engineer, Backend - Fandango; 72-131k; 3/9/26;Open; 3/9/26;; https://www.glassdoor.com/job-listing/software-engineer-backend-fandango-versant-media-JV_IC1154247_KO0,34_KE35,48.htm?jl=1010057443203&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos9-age2d-1010057443203&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jj7pmh9ck8gt800-b055d25e510f862a&cs=1_142ef48a&s=224&t=JA&pos=109&ja=388890994&guid=0000019ccf77bca0ab0e4ec195c377da&jobListingId=1010057443203&ea=1&vt=e&cb=1773009585763&ctt=1773062788868&srs=EMAIL_JOB_ALERT&gdir=1
Imaging Healthcare Specialist; Solutions Engineer; 100-115k; 3/9/26;Open; 3/9/26;; https://www.glassdoor.com/job-listing/solutions-engineer-imaging-healthcare-specialists-JV_KO0,18_KE19,49.htm?jl=1010051984233&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos1-age5d-1010051984233&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1110586&jrtk=5-yul1-0-1jj7haqu2l6jq80h-36db93c3f281e491---6NYlbfkN0DGsmOAQZ8xNGIxKtpl0SKH7QMWvxHDdIRMuauEB4PVhp743Re478j_dlgq2Jl2thN8FPKXAVbaQi_qn12hOqqmAdXU2JMvmMYjIWbTqPMHX_jhrqyGVNDGxMPW_0Y_cno9gYvyx65Ubkgo6lOI6wykqXTjpeyoEf8eb2pFC4e04tkW_ij4PavMreLwxvzKsyXO9iQSnuVOLaSzQeSJOzGczfa7KAx_4ItAIOT1OXemTrhLv2o0ymkUBjbxPahgH8LC7RNnV4XEKJG_rvyGnGckWChXYLEi13QL6BU60Aw0SeERzbJIbW-URWuz2bOtOPxhdQ-WG-Z-XJ45EgyWQm51qnlwHmswRGW5p9v_ED_COTCTrXVZcbFTJQBW2zZje7N78hrybkAcc3nzBYBZodk8InooynSWxz8pBdjY2iWrusQLzUG28pfYH7v59a3LF_52GH9CljnvYd2i4jZ9xJV9Gi5XUaNr9EajM5Mx-bDmzwOfDzhF8H_Fj6r27fbcXvd13Mqo36EIZnDq9HToNhYgifqqKeJWW4iL2tkh9klJ_WqTB9t_VUj1Cuszir7l_qz96X90FVetNUc0ERJYXm7IeuXtla1PG93DbI-mDYse3R1ZSWXH-ruRarIbGFTO3hRENaFp_35-TPHNmgyaHdi8v8qGjPlzjVQbonuB7FP-OsvFrgRAuhMQK5agqDfdhGToLHwkCj8lRBU71ujoQMAINkMERB4PEqL3XF1EC7SKzwT1ctaxJDBX4kH64FO9DJFU56ebj6rvuRdXm-1hY1nVENdRHzWxvfmCrMBdnHz6fn4hvMqOs9sK7Y5nKcgFPPhYXYnxouXIBA%3D%3D&cs=1_17005c6a&s=224&t=JA&pos=101&cpc=F7A2269C793D5877&ja=396299206&guid=0000019cced2f1aeaa135f3b92d4f595&jobListingId=1010051984233&vt=e&cb=1773000813810&ctt=1773062938233&srs=EMAIL_JOB_ALERT&gdir=1
Inspira Financial; Sr. Software Engineer (Remote); 107-137k; 3/9/26;Open; 3/9/26;;  https://www.glassdoor.com/job-listing/sr-software-engineer-remote-inspira-financial-trust-JV_IC1128935_KO0,27_KE28,51.htm?jl=1010055537719&utm_source=jobalert&utm_medium=email&utm_term=jatimepostedcontrol&utm_content=ja-jobpos12-age3d-1010055537719&utm_campaign=jobAlertAlert&tgt=GD_JOB_VIEW&src=GD_JOB_AD&uido=7A57A36BECDA9E413E76BB41CD0D8A0B&ao=1136043&jrtk=5-yul1-0-1jj7haqu2l6jq80h-1733261c550fa238&cs=1_b2958ca6&s=224&t=JA&pos=112&ja=396299206&guid=0000019cced2f1aeaa135f3b92d4f595&jobListingId=1010055537719&vt=e&cb=1773000813810&ctt=1773063066479&srs=EMAIL_JOB_ALERT&gdir=1
Ncontracts (Nashville TN); Software Developer L3; 100-130k; 3/10/26; Rejected; 4/10/2026;; https://www.indeed.com/viewjob?jk=203ad6f751d5e263&tk=1jjb7d887i8jg801&from=jobi2a&advn=9898341762116514&adid=457049627&ad=-6NYlbfkN0BRBkllaHJVwV6NK27WAGSw39uvZW6oK4IY7SFQhP1CdmQrbKD338vvft2riLge1RUTplcCVNeqLAZ0pgZCcrPxpdP0Fh3IB0VgAf1HY0bDSwvU1rAcTNeBW8g_z8lkt_MWAqN_6ITJZl7J9U8twDNjYOIsPBSeD7LIvdfe3xJ1n9YVvSY_25jv2C9gtaV6GX4Blf20BCgo6Pvk7dnbbo7pqzGZpaYtO5ZPVypmCL5Wm5OUwVq3S3q0miyIkhKXpq03AmDSNB-POkg56eZwj1m534TwzcVQRLrHQgU4GpXR0-DofaEZgy4Y3_-4bnzkNv5AoSA5PnblFI6WUvCqKBBrDVjxzO_KcYtRsvzDOuxkMKJzyMyEuqER5q3s5nbZr26NmUzTIyOI0hS0J6gM-NhpJ-IYDEvcgQvY-uTAvyyL2qjyuwfJ87g1-TvzvYP_p58a_PEM6aAdmvgxqBM94IDdI6xby-QwHlBY191wJy0wcov9meCkozLxZ4FZ85h87rOgeqKyfsrXjTo3UEA_VAH4K90JzuH16795hvZ_llJsdNi9y8P9W1dgNoU2z0_WXY2ln07Xjae8k-Nd3w6ZrItHumRrqklO64BvQZ6pph0ERepuBN-oNLaS&sjdu=Eexil7JbRGDjQt2TP_ydZxOqLuoTkXDQZbMyJ7OLyscqHk2LBS1aUc_hmZtU679Qc0VOYcx-CPpq4uf9aVeI9BQudd0i53iOho8pLF_1O5o_W4WLwnqNPgbdgCh2S_Fn&acatk=1jjbr7f3322to001&pub=21d85ca573e478f5e659e48885c828920cace3277f6b99df&i2af=jobi2a_multijob-en-US_email&camk=UoKtGZLa3XIfRMWMxxOndA%3D%3D&jrtk=5-cmh1-1-1jjb76oa2ov98801-203ad6f751d5e263&xkcb=SoCg6_M3mrHc09AdyD0ZbzkdCdPP&xpse=SoDh6_I3mr-SOEgQZr0IbzkdCdPP&xfps=a2bf236b-82b8-4adb-8498-79df76d93fa6
ServiceTitan; Senior Software Engineer; 151-202k; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/6933a1cda0dde7020e2efcce?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343978_6537&utm_medium=email
Wex (R20593); Staff, Software Engineer; 141-173k; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69af86447495006450940555?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343978_6537&utm_medium=email
Sprintward; SDET C# .NET; 60/hr; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69af85206b21de023e60bb77?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343978_6537&utm_medium=email
DNI (Delaware Nation Industries); .NET Developer - 305002A; ; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69aefa60dfaeda6ff5970176?utm_source=1121&imp_id=3673496432511879909__instant_push__1773111343979_2780&utm_medium=email
Peraton; Senior Software Engineer; 146-234k; 3/10/26; Rejected; 4/10/2026;; https://jobright.ai/jobs/info/69af5eae6b21de023e608652?utm_source=1121&imp_id=3673496432511879909__instant_push__1773101126321_5316&utm_medium=email
Novara; Senior Software Engineer; 130-150k; 3/10/26;Open; 3/10/26;; https://jobright.ai/jobs/info/69af56d36b21de023e608368?utm_source=1121&imp_id=3673496432511879909__instant_push__1773101126321_5316&utm_medium=email
